deuda_id,linea_id,circunstancia_id,cliente_id,monto_original,monto_actual,fecha_vencimiento,estado_deuda,meses_mora,fecha_generacion,fecha_actualizacion
MD#1,CS%1,CS%G1,C0K125,250.0,300.0,2023-01-03,PAGADA,0,2020-07-04,2020-09-18
MD#2,CS%10,CS%G1,C0K129,250.0,300.0,2023-01-03,VENCIDA,3,2020-12-12,2020-12-14
MD#3,CS%100,CS%G1,C0K150,250.0,300.0,2023-01-03,PAGADA,0,2023-04-01,2023-05-29
MD#4,CS%101,CS%G1,C0K150,250.0,300.0,2023-01-03,PAGADA,0,2023-02-14,2023-04-17
MD#5,CS%103,CS%G1,C0K155,250.0,300.0,2023-01-03,PAGADA,0,2022-06-08,2022-07-29
MD#6,CS%104,CS%G1,C0K181,250.0,300.0,2023-01-03,PAGADA,0,2022-12-09,2023-01-15
MD#7,CS%105,CS%G1,C0K172,250.0,300.0,2023-01-03,PAGADA,0,2022-08-29,2022-11-12
MD#8,CS%107,CS%G1,C0K1100,250.0,300.0,2023-01-03,PAGADA,0,2022-10-17,2023-01-01
MD#9,CS%108,CS%G1,C0K1100,250.0,300.0,2023-01-03,PAGADA,0,2023-05-04,2023-07-08
MD#10,CS%109,CS%G1,C0K153,250.0,300.0,2023-01-03,PAGADA,0,2023-01-21,2023-01-22
MD#11,CS%11,CS%G1,C0K122,250.0,300.0,2023-01-03,PAGADA,0,2020-12-09,2021-02-28
MD#12,CS%110,CS%G1,C0K177,250.0,300.0,2023-01-03,PAGADA,0,2022-07-15,2022-08-04
MD#13,CS%111,CS%G1,C0K177,250.0,300.0,2023-01-03,PAGADA,0,2022-10-31,2023-01-14
MD#14,CS%112,CS%G1,C0K170,250.0,300.0,2023-01-03,PAGADA,0,2022-08-27,2022-09-29
MD#15,CS%113,CS%G1,C0K170,250.0,300.0,2023-01-03,PAGADA,0,2023-03-05,2023-04-02
MD#16,CS%115,CS%G1,C0K158,250.0,300.0,2023-01-03,PAGADA,0,2023-04-01,2023-05-25
MD#17,CS%117,CS%G1,C0K168,250.0,300.0,2023-01-03,VENCIDA,3,2022-11-21,2023-01-30
MD#18,CS%118,CS%G1,C0K148,250.0,300.0,2023-01-03,PAGADA,0,2022-12-16,2023-03-16
MD#19,CS%119,CS%G1,C0K154,250.0,300.0,2023-01-03,PAGADA,0,2022-07-14,2022-09-11
MD#20,CS%12,CS%G1,C0K122,250.0,300.0,2023-01-03,PAGADA,0,2020-11-22,2021-02-19
MD#21,CS%120,CS%G1,C0K154,250.0,300.0,2023-01-03,PAGADA,0,2023-02-11,2023-04-11
MD#22,CS%121,CS%G1,C0K154,250.0,300.0,2023-01-03,PENDIENTE,0,2022-08-21,2022-10-20
MD#23,CS%122,CS%G1,C0K185,250.0,300.0,2023-01-03,PENDIENTE,0,2023-04-14,2023-05-08
MD#24,CS%123,CS%G1,C0K152,250.0,300.0,2023-01-03,PAGADA,0,2022-10-02,2022-12-02
MD#25,CS%124,CS%G1,C0K143,250.0,300.0,2023-01-03,PAGADA,0,2023-05-25,2023-05-26
MD#26,CS%125,CS%G1,C0K160,250.0,300.0,2023-01-03,PAGADA,0,2022-10-25,2023-01-23
MD#27,CS%126,CS%G1,C0K160,250.0,300.0,2023-01-03,PAGADA,0,2023-06-14,2023-07-06
MD#28,CS%127,CS%G1,C0K160,250.0,300.0,2023-01-03,PAGADA,0,2023-07-09,2023-09-10
MD#29,CS%128,CS%G1,C0K186,250.0,300.0,2023-01-03,PAGADA,0,2023-07-09,2023-09-09
MD#30,CS%129,CS%G1,C0K188,250.0,300.0,2023-01-03,PAGADA,0,2023-06-27,2023-08-28
MD#31,CS%13,CS%G1,C0K115,250.0,300.0,2023-01-03,PAGADA,0,2020-05-15,2020-07-12
MD#32,CS%130,CS%G1,C0K188,250.0,300.0,2023-01-03,PAGADA,0,2023-03-21,2023-04-30
MD#33,CS%131,CS%G1,C0K188,250.0,300.0,2023-01-03,PAGADA,0,2023-02-17,2023-05-13
MD#34,CS%132,CS%G1,C0K159,250.0,300.0,2023-01-03,PENDIENTE,0,2023-04-25,2023-07-02
MD#35,CS%133,CS%G1,C0K159,250.0,300.0,2023-01-03,PAGADA,0,2023-05-09,2023-08-07
MD#36,CS%134,CS%G1,C0K176,250.0,300.0,2023-01-03,PAGADA,0,2023-07-29,2023-08-26
MD#37,CS%135,CS%G1,C0K144,250.0,300.0,2023-01-03,PAGADA,0,2022-10-06,2022-11-24
MD#38,CS%136,CS%G1,C0K162,250.0,300.0,2023-01-03,PAGADA,0,2022-10-02,2022-12-03
MD#39,CS%137,CS%G1,C0K162,250.0,300.0,2023-01-03,PAGADA,0,2022-10-15,2022-12-18
MD#40,CS%138,CS%G1,C0K184,250.0,300.0,2023-01-03,PAGADA,0,2023-06-04,2023-07-05
MD#41,CS%139,CS%G1,C0K184,250.0,300.0,2023-01-03,PAGADA,0,2023-01-22,2023-03-16
MD#42,CS%140,CS%G1,C0K184,250.0,300.0,2023-01-03,PAGADA,0,2022-11-06,2022-12-28
MD#43,CS%141,CS%G1,C0K183,250.0,300.0,2023-01-03,PAGADA,0,2023-03-03,2023-04-16
MD#44,CS%142,CS%G1,C0K183,250.0,300.0,2023-01-03,PAGADA,0,2022-11-17,2022-12-07
MD#45,CS%143,CS%G1,C0K145,250.0,300.0,2023-01-03,PAGADA,0,2023-03-05,2023-03-25
MD#46,CS%144,CS%G1,C0K145,250.0,300.0,2023-01-03,PAGADA,0,2023-07-27,2023-07-29
MD#47,CS%145,CS%G1,C0K151,250.0,300.0,2023-01-03,PAGADA,0,2023-09-21,2023-12-08
MD#48,CS%146,CS%G1,C0K193,250.0,300.0,2023-01-03,PAGADA,0,2023-06-21,2023-07-09
MD#49,CS%147,CS%G1,C0K193,250.0,300.0,2023-01-03,VENCIDA,1,2023-01-13,2023-03-19
MD#50,CS%148,CS%G1,C0K163,250.0,300.0,2023-01-03,PAGADA,0,2023-01-23,2023-02-13
MD#51,CS%149,CS%G1,C0K163,250.0,300.0,2023-01-03,PAGADA,0,2023-10-18,2023-12-07
MD#52,CS%15,CS%G1,C0K18,250.0,300.0,2023-01-03,PENDIENTE,0,2020-04-13,2020-04-22
MD#53,CS%150,CS%G1,C0K161,250.0,300.0,2023-01-03,PAGADA,0,2023-04-18,2023-07-15
MD#54,CS%151,CS%G1,C0K161,250.0,300.0,2023-01-03,PAGADA,0,2023-08-23,2023-08-27
MD#55,CS%152,CS%G1,C0K191,250.0,300.0,2023-01-03,VENCIDA,3,2023-08-29,2023-11-23
MD#56,CS%153,CS%G1,C0K191,250.0,300.0,2023-01-03,PAGADA,0,2023-10-19,2023-12-06
MD#57,CS%154,CS%G1,C0K140,250.0,300.0,2023-01-03,PAGADA,0,2023-01-04,2023-01-18
MD#58,CS%155,CS%G1,C0K140,250.0,300.0,2023-01-03,PAGADA,0,2023-04-13,2023-04-15
